,date,avg_price,geography,type,units_4046,units_4225,units_4770,s_bags,l_bags,xl_bags,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax,year,month
74,2017-01-22,1.52,Syracuse,conventional,1341.0,52570.04,16.27,24856.47,1075.94,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
75,2017-01-15,1.4,Syracuse,conventional,1109.08,37401.39,21.0,29465.36,601.39,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
76,2017-01-22,0.68,Houston,conventional,798585.87,170357.81,4719.74,79246.83,66254.52,3.33,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
77,2017-01-02,1.07,LosAngeles,organic,15830.84,28951.76,1.56,43159.57,12006.59,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
78,2017-01-15,1.05,Plains,conventional,925668.48,529337.88,6259.33,545116.32,46315.29,11496.72,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
79,2017-01-15,1.88,Boston,organic,12.3,1315.1,0.0,15554.34,130.54,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
80,2017-01-15,1.6,Louisville,organic,13.85,1318.58,0.0,626.67,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
81,2017-01-08,0.89,LosAngeles,conventional,969758.4,692908.87,72814.14,1288525.3,72837.94,24117.02,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
82,2017-01-02,0.98,Miami/FtLauderdale,conventional,309692.08,199635.67,540.23,84253.42,193284.7,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
83,2017-01-15,0.76,LosAngeles,conventional,1075572.75,703853.31,61161.98,1442445.76,59205.75,21168.43,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
84,2017-01-08,1.15,Jacksonville,conventional,47783.4,23081.48,148.91,29267.91,41411.63,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
85,2017-01-02,1.28,Orlando,organic,558.15,26.59,0.0,2530.0,2572.21,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
86,2017-01-29,2.02,Sacramento,organic,1652.72,4786.42,12.15,296.98,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
87,2017-01-02,1.59,Louisville,organic,5.04,1395.31,0.0,513.34,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
88,2017-01-29,1.11,SouthCarolina,conventional,174671.54,85091.43,3175.63,91776.59,40642.03,54.17,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
89,2017-01-15,1.27,Orlando,conventional,148500.59,72248.12,175.19,69128.81,66907.79,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
90,2017-01-08,1.29,NewYork,conventional,18585.1,1207607.23,6403.22,258470.17,40822.02,186.95,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
91,2017-01-29,0.93,LasVegas,conventional,120542.24,45790.67,7716.2,59095.7,76001.26,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
92,2017-01-08,0.86,Louisville,conventional,2489.41,55251.9,397.86,17859.61,42296.4,15.56,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
93,2017-01-02,1.44,GreatLakes,organic,4104.86,69800.29,0.0,23593.03,6655.73,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
