year_month,date,status,prod_total_volume,region,prod_volume_region
4/1/2018,4/22/2018,actual,66889496,Mexico,52320894
4/1/2018,4/1/2018,actual,39158603,Mexico,30913989
12/1/2018,12/9/2018,actual,55009729,Mexico,51465050
9/1/2018,9/23/2018,actual,49322205,Mexico,36691752
12/1/2019,12/8/2019,actual,55662831,Mexico,55348222
11/1/2020,11/8/2020,actual,42783020,Mexico,41148050
7/1/2019,7/28/2019,actual,53521551,Mexico,31327355
5/1/2019,5/26/2019,actual,53448347,Mexico,35628132
3/1/2019,3/31/2019,actual,57772402,Mexico,54341168
2/1/2019,2/24/2019,actual,60985301,Mexico,60355899
6/1/2018,6/24/2018,actual,49126245,Mexico,30306824
11/1/2020,11/22/2020,projection,38427934,Mexico,37781617
6/1/2018,6/3/2018,actual,54230134,Mexico,39826579
8/1/2020,8/9/2020,actual,52326427,Mexico,32109326
3/1/2020,3/8/2020,actual,47119478,Mexico,38869689
7/1/2020,7/26/2020,actual,59549678,Mexico,36790367
11/1/2020,11/15/2020,actual,56990553,Mexico,55600384
8/1/2019,8/18/2019,actual,49712129,Mexico,38218699
7/1/2018,7/1/2018,actual,59868501,Mexico,37779422
9/1/2018,9/9/2018,actual,44091358,Mexico,30089700
6/1/2020,6/28/2020,actual,67186115,Mexico,35035819
10/1/2019,10/13/2019,actual,52027810,Mexico,49553268
8/1/2018,8/5/2018,actual,52948354,Mexico,29039776
12/1/2018,12/16/2018,actual,50045775,Mexico,46825174
8/1/2018,8/26/2018,actual,48011570,Mexico,25537886
10/1/2020,10/18/2020,actual,55367338,Mexico,52907739
10/1/2019,10/27/2019,actual,48468039,Mexico,47098535
2/1/2019,2/17/2019,actual,52838523,Mexico,52209389
1/1/2018,1/14/2018,actual,52758905,Mexico,51479081
6/1/2019,6/9/2019,actual,44060017,Mexico,22660021
6/1/2020,6/21/2020,actual,65624404,Mexico,39545860
11/1/2020,11/1/2020,actual,49535249,Mexico,48220715
1/1/2019,1/27/2019,actual,59200492,Mexico,58217608
3/1/2020,3/15/2020,actual,48039847,Mexico,44120882
12/1/2018,12/2/2018,actual,55202354,Mexico,52824584
9/1/2020,9/6/2020,actual,52693480,Mexico,39925907
1/1/2018,1/28/2018,actual,45299201,Mexico,42505354
7/1/2019,7/7/2019,actual,51446909,Mexico,21024383
1/1/2019,1/13/2019,actual,73115987,Mexico,71889970
11/1/2019,11/3/2019,actual,53112275,Mexico,51910206
5/1/2020,5/24/2020,actual,51932040,Mexico,33372360
11/1/2018,11/4/2018,actual,15760324,Mexico,13476914
9/1/2020,9/20/2020,actual,45986305,Mexico,38249616
2/1/2020,2/9/2020,actual,29476898,Mexico,26987593
5/1/2019,5/19/2019,actual,50595179,Mexico,36977263
8/1/2018,8/19/2018,actual,56452066,Mexico,34031913
1/1/2020,1/12/2020,actual,65307572,Mexico,64809925
4/1/2020,4/12/2020,actual,24945091,Mexico,21687715
12/1/2019,12/29/2019,actual,33408342,Mexico,33185587
10/1/2018,10/14/2018,actual,43609892,Mexico,39427297
1/1/2020,1/26/2020,actual,66647112,Mexico,63774627
4/1/2020,4/5/2020,actual,24392863,Mexico,16174674
12/1/2018,12/23/2018,actual,47448337,Mexico,45341743
1/1/2020,1/5/2020,actual,32537444,Mexico,32291182
5/1/2018,5/13/2018,actual,49634250,Mexico,36478789
3/1/2019,3/10/2019,actual,55687317,Mexico,54899303
10/1/2019,10/20/2019,actual,45213563,Mexico,43524359
3/1/2020,3/22/2020,actual,54765620,Mexico,46679412
8/1/2020,8/2/2020,actual,61589035,Mexico,38468421
12/1/2018,12/30/2018,actual,33740596,Mexico,31882788
9/1/2018,9/2/2018,actual,38516499,Mexico,17927226
9/1/2018,9/30/2018,actual,39213471,Mexico,29517339
1/1/2020,1/19/2020,actual,76375629,Mexico,74498167
2/1/2018,2/11/2018,actual,39307402,Mexico,36267559
6/1/2020,6/7/2020,actual,54322214,Mexico,33956728
8/1/2020,8/30/2020,actual,48717827,Mexico,34643071
5/1/2020,5/10/2020,actual,68814562,Mexico,50608141
9/1/2020,9/13/2020,actual,50284383,Mexico,41917507
2/1/2018,2/25/2018,actual,53018743,Mexico,47987058
3/1/2020,3/29/2020,actual,36225538,Mexico,27901876
2/1/2020,2/23/2020,actual,60175473,Mexico,53720838
5/1/2019,5/5/2019,actual,37778586,Mexico,29034816
1/1/2018,1/21/2018,actual,54698266,Mexico,51339476
9/1/2019,9/15/2019,actual,51760427,Mexico,47331012
7/1/2020,7/12/2020,actual,52258875,Mexico,25273369
12/1/2019,12/1/2019,actual,49266022,Mexico,48902153
1/1/2019,1/6/2019,actual,39644522,Mexico,38533278
4/1/2019,4/7/2019,actual,66309565,Mexico,58313868
1/1/2019,1/20/2019,actual,73262502,Mexico,72545325
12/1/2020,12/6/2020,projection,52612612,Mexico,52089383
3/1/2019,3/17/2019,actual,57661257,Mexico,56500196
6/1/2019,6/23/2019,actual,43112741,Mexico,12902910
9/1/2019,9/22/2019,actual,41138734,Mexico,36676441
5/1/2020,5/17/2020,actual,54720342,Mexico,38724426
12/1/2019,12/22/2019,actual,49600528,Mexico,49422746
7/1/2020,7/5/2020,actual,55217288,Mexico,26616471
11/1/2019,11/17/2019,actual,41304726,Mexico,41214777
4/1/2020,4/26/2020,actual,70861471,Mexico,53786674
2/1/2018,2/18/2018,actual,51204346,Mexico,46939897
7/1/2018,7/8/2018,actual,54802659,Mexico,34059160
9/1/2020,9/27/2020,actual,56022215,Mexico,49431809
10/1/2020,10/25/2020,actual,55789244,Mexico,52925105
6/1/2019,6/16/2019,actual,43165973,Mexico,18987812
4/1/2018,4/8/2018,actual,57742874,Mexico,46764604
3/1/2020,3/1/2020,actual,56195818,Mexico,46410376
12/1/2020,12/27/2020,projection,38422754,Mexico,38233248
10/1/2018,10/7/2018,actual,44622910,Mexico,38216313
10/1/2018,10/28/2018,actual,43424770,Mexico,40611763
7/1/2019,7/21/2019,actual,51585051,Mexico,27328014
11/1/2019,11/24/2019,actual,39597532,Mexico,39363186
2/1/2020,2/16/2020,actual,50713581,Mexico,45456422
5/1/2018,5/6/2018,actual,43454036,Mexico,29744685
3/1/2018,3/4/2018,actual,50628975,Mexico,45765295
6/1/2019,6/30/2019,actual,38519597,Mexico,8653058
5/1/2020,5/3/2020,actual,57343819,Mexico,39463348
12/1/2020,12/20/2020,projection,50563073,Mexico,50274359
4/1/2018,4/29/2018,actual,57879711,Mexico,41406535
9/1/2019,9/8/2019,actual,44957024,Mexico,40172513
12/1/2020,12/13/2020,projection,49965178,Mexico,49544465
8/1/2018,8/12/2018,actual,56626601,Mexico,34221295
2/1/2020,2/2/2020,actual,45414983,Mexico,42710494
11/1/2018,11/18/2018,actual,44931673,Mexico,41418523
9/1/2018,9/16/2018,actual,51398671,Mexico,35153392
2/1/2019,2/10/2019,actual,39391270,Mexico,38764278
8/1/2019,8/4/2019,actual,39624707,Mexico,22270321
7/1/2018,7/15/2018,actual,52741471,Mexico,27618124
4/1/2020,4/19/2020,actual,65731766,Mexico,49706264
3/1/2018,3/18/2018,actual,51922869,Mexico,47779482
