year_month,geography,period,date,units_prior_year,units_current_year,unit_variance,dollars_prior_year,dollars_current_year,dollar_variance,avg_price_prior_year,avg_price_current_year,avg_price_variance,prod_total_volume,california,chile,mexico,peru,colombia
2018-02-01,Louisville,2,2018-02-25,412347.88,517231.68,0.254357558,463580.95,491954.26,0.06120465,1.124247201,0.951129405,-0.153985526,53018743,5031685,0,47987058,0,0
2018-02-01,NorthernNewEngland,2,2018-02-25,2200764.03,2339458.83,0.063021205,2633510.44,2828039.42,0.073866797,1.196634625,1.208843423,0.010202611,53018743,5031685,0,47987058,0,0
2018-02-01,Nashville,2,2018-02-25,1053480.7,1185524.28,0.125340293,879549.79,1089817.08,0.239062407,0.834898817,0.919270148,0.101055756,53018743,5031685,0,47987058,0,0
2018-02-01,Plains,2,2018-02-25,9824721.68,9687530.99,-0.013963825,9255621.05,10231004.85,0.105382858,0.942074631,1.056100348,0.12103682,53018743,5031685,0,47987058,0,0
2018-02-01,Baltimore/Washington,2,2018-02-25,3854974.22,3937254.03,0.021343803,4764127.7,5190680.32,0.089534254,1.235839056,1.318350373,0.066765423,53018743,5031685,0,47987058,0,0
2018-02-01,Houston,2,2018-02-25,6084399.6,7510815.15,0.234438177,3741987.66,4699568.03,0.255901531,0.615013462,0.625706789,0.017387144,53018743,5031685,0,47987058,0,0
2018-02-01,Charlotte,2,2018-02-25,1049124.88,1188816.08,0.133150212,1214733.08,1440392.6,0.185768811,1.157853658,1.211619378,0.046435679,53018743,5031685,0,47987058,0,0
2018-02-01,Pittsburgh,2,2018-02-25,494074.82,682698.04,0.381770559,592327.3,747217.7,0.261494616,1.198861541,1.094506877,-0.0870448,53018743,5031685,0,47987058,0,0
2018-02-01,Chicago,2,2018-02-25,4090020.93,4375773.15,0.069865711,4365659.92,5414345.14,0.240212302,1.067393051,1.23734594,0.159222405,53018743,5031685,0,47987058,0,0
2018-02-01,SouthCarolina,2,2018-02-25,1815119.87,1968850.27,0.084694351,1820621.93,2168376.47,0.191008652,1.003031238,1.10134148,0.098013141,53018743,5031685,0,47987058,0,0
2018-02-01,GrandRapids,2,2018-02-25,921901.48,957735.44,0.03886962,983914.2,1112721.05,0.130912685,1.067266103,1.161825076,0.088599246,53018743,5031685,0,47987058,0,0
2018-02-01,Sacramento,2,2018-02-25,2186937.97,2559622.92,0.170414047,2369550.68,2601018.28,0.097684174,1.08350155,1.016172445,-0.062140294,53018743,5031685,0,47987058,0,0
