year_month,date,status,prod_total_volume,location,prod_volume
2020-04-01,2020-04-26,actual,70861471,chile,0
2018-02-01,2018-02-18,actual,51204346,chile,0
2018-07-01,2018-07-08,actual,54802659,chile,0
2020-09-01,2020-09-27,actual,56022215,chile,551263
2020-10-01,2020-10-25,actual,55789244,chile,131219
2019-06-01,2019-06-16,actual,43165973,chile,0
2018-04-01,2018-04-08,actual,57742874,chile,0
2020-03-01,2020-03-01,actual,56195818,chile,0
2020-12-01,2020-12-27,projection,38422754,chile,44000
2018-10-01,2018-10-07,actual,44622910,chile,4141118
2018-10-01,2018-10-28,actual,43424770,chile,2480207
2019-07-01,2019-07-21,actual,51585051,chile,0
2019-11-01,2019-11-24,actual,39597532,chile,234344
2020-02-01,2020-02-16,actual,50713581,chile,0
2018-05-01,2018-05-06,actual,43454036,chile,0
2018-03-01,2018-03-04,actual,50628975,chile,0
2019-06-01,2019-06-30,actual,38519597,chile,0
2020-05-01,2020-05-03,actual,57343819,chile,0
2020-12-01,2020-12-20,projection,50563073,chile,44000
2018-04-01,2018-04-29,actual,57879711,chile,0
2019-09-01,2019-09-08,actual,44957024,chile,2405413
2020-12-01,2020-12-13,projection,49965178,chile,176000
2018-08-01,2018-08-12,actual,56626601,chile,0
2020-02-01,2020-02-02,actual,45414983,chile,0
2018-11-01,2018-11-18,actual,44931673,chile,3513150
2018-09-01,2018-09-16,actual,51398671,chile,6299540
2019-02-01,2019-02-10,actual,39391270,chile,497035
2019-08-01,2019-08-04,actual,39624707,chile,94816
2018-07-01,2018-07-15,actual,52741471,chile,0
2020-04-01,2020-04-19,actual,65731766,chile,0
2018-03-01,2018-03-18,actual,51922869,chile,0
2020-11-01,2020-11-29,projection,46408984,chile,264000
2019-09-01,2019-09-29,actual,56281822,chile,3235736
2019-06-01,2019-06-02,actual,48758242,chile,0
2020-08-01,2020-08-16,actual,45333672,chile,0
2019-04-01,2019-04-14,actual,71757754,chile,0
2020-08-01,2020-08-23,actual,54176904,chile,0
2019-07-01,2019-07-14,actual,54169319,mexico,23998089
2018-11-01,2018-11-11,actual,7175415,mexico,4852853
2018-04-01,2018-04-15,actual,65017211,mexico,51947577
2018-10-01,2018-10-21,actual,41484288,mexico,38695320
2020-05-01,2020-05-31,actual,51667453,mexico,35634569
2018-11-01,2018-11-25,actual,70104497,mexico,68269854
2018-02-01,2018-02-04,actual,47371481,mexico,44736010
2018-03-01,2018-03-11,actual,52057338,mexico,45241294
2018-03-01,2018-03-25,actual,45807126,mexico,40809513
2019-03-01,2019-03-03,actual,56315469,mexico,55402575
2020-10-01,2020-10-04,actual,52210342,mexico,47788469
2019-12-01,2019-12-15,actual,48427351,mexico,48112742
2019-02-01,2019-02-03,actual,45231823,mexico,44421122
2018-07-01,2018-07-29,actual,49443206,mexico,25600735
2018-05-01,2018-05-20,actual,54804644,mexico,40946564
2019-04-01,2019-04-28,actual,43710990,mexico,33470724
2020-06-01,2020-06-14,actual,64385710,mexico,39424664
2019-05-01,2019-05-12,actual,45314468,mexico,36841135
2019-09-01,2019-09-01,actual,37090495,mexico,29806714
2019-03-01,2019-03-24,actual,47860338,mexico,46289056
2019-08-01,2019-08-11,actual,30887574,mexico,18955232
2018-06-01,2018-06-17,actual,50646896,mexico,31575868
2018-07-01,2018-07-22,actual,43482853,mexico,22437422
2019-11-01,2019-11-10,actual,43217649,mexico,43029495
2019-04-01,2019-04-21,actual,41226066,mexico,31142340
2018-06-01,2018-06-10,actual,54216347,mexico,35859311
2018-01-01,2018-01-07,actual,45670156,mexico,44251374
2019-08-01,2019-08-25,actual,48325702,mexico,40322206
2018-05-01,2018-05-27,actual,58216425,mexico,41926134
2020-07-01,2020-07-19,actual,55528282,mexico,29182989
2019-10-01,2019-10-06,actual,48828843,mexico,45673552
2020-10-01,2020-10-11,actual,56934734,mexico,54117193
2018-04-01,2018-04-22,actual,66889496,mexico,52320894
2018-04-01,2018-04-01,actual,39158603,mexico,30913989
2018-12-01,2018-12-09,actual,55009729,mexico,51465050
2018-09-01,2018-09-23,actual,49322205,mexico,36691752
2019-12-01,2019-12-08,actual,55662831,mexico,55348222
2020-11-01,2020-11-08,actual,42783020,mexico,41148050
2019-07-01,2019-07-28,actual,53521551,mexico,31327355
2019-05-01,2019-05-26,actual,53448347,mexico,35628132
2019-03-01,2019-03-31,actual,57772402,mexico,54341168
2019-02-01,2019-02-24,actual,60985301,mexico,60355899
2018-06-01,2018-06-24,actual,49126245,mexico,30306824
2020-11-01,2020-11-22,projection,38427934,mexico,37781617
2018-06-01,2018-06-03,actual,54230134,mexico,39826579
2020-08-01,2020-08-09,actual,52326427,mexico,32109326
2020-03-01,2020-03-08,actual,47119478,mexico,38869689
2020-07-01,2020-07-26,actual,59549678,mexico,36790367
2020-11-01,2020-11-15,actual,56990553,mexico,55600384
2019-08-01,2019-08-18,actual,49712129,mexico,38218699
2018-07-01,2018-07-01,actual,59868501,mexico,37779422
2018-09-01,2018-09-09,actual,44091358,mexico,30089700
2020-06-01,2020-06-28,actual,67186115,mexico,35035819
2019-10-01,2019-10-13,actual,52027810,mexico,49553268
2018-08-01,2018-08-05,actual,52948354,mexico,29039776
2018-12-01,2018-12-16,actual,50045775,mexico,46825174
2018-08-01,2018-08-26,actual,48011570,mexico,25537886
2020-10-01,2020-10-18,actual,55367338,mexico,52907739
2019-10-01,2019-10-27,actual,48468039,mexico,47098535
2019-02-01,2019-02-17,actual,52838523,mexico,52209389
2018-01-01,2018-01-14,actual,52758905,mexico,51479081
2019-06-01,2019-06-09,actual,44060017,mexico,22660021
2020-06-01,2020-06-21,actual,65624404,mexico,39545860
2020-11-01,2020-11-01,actual,49535249,mexico,48220715
2019-01-01,2019-01-27,actual,59200492,mexico,58217608
2020-03-01,2020-03-15,actual,48039847,mexico,44120882
2018-12-01,2018-12-02,actual,55202354,mexico,52824584
2020-09-01,2020-09-06,actual,52693480,mexico,39925907
2018-01-01,2018-01-28,actual,45299201,mexico,42505354
2019-07-01,2019-07-07,actual,51446909,mexico,21024383
2019-01-01,2019-01-13,actual,73115987,mexico,71889970
2019-11-01,2019-11-03,actual,53112275,mexico,51910206
2020-05-01,2020-05-24,actual,51932040,mexico,33372360
2018-11-01,2018-11-04,actual,15760324,mexico,13476914
2020-09-01,2020-09-20,actual,45986305,mexico,38249616
2020-02-01,2020-02-09,actual,29476898,mexico,26987593
2019-05-01,2019-05-19,actual,50595179,mexico,36977263
2018-08-01,2018-08-19,actual,56452066,mexico,34031913
2020-01-01,2020-01-12,actual,65307572,mexico,64809925
2020-04-01,2020-04-12,actual,24945091,mexico,21687715
2019-12-01,2019-12-29,actual,33408342,mexico,33185587
2018-10-01,2018-10-14,actual,43609892,mexico,39427297
2020-01-01,2020-01-26,actual,66647112,mexico,63774627
2020-04-01,2020-04-05,actual,24392863,mexico,16174674
2018-12-01,2018-12-23,actual,47448337,mexico,45341743
2020-01-01,2020-01-05,actual,32537444,mexico,32291182
2018-05-01,2018-05-13,actual,49634250,mexico,36478789
2019-03-01,2019-03-10,actual,55687317,mexico,54899303
2019-10-01,2019-10-20,actual,45213563,mexico,43524359
2020-03-01,2020-03-22,actual,54765620,mexico,46679412
2020-08-01,2020-08-02,actual,61589035,mexico,38468421
2018-12-01,2018-12-30,actual,33740596,mexico,31882788
2018-09-01,2018-09-02,actual,38516499,mexico,17927226
2018-09-01,2018-09-30,actual,39213471,mexico,29517339
2020-01-01,2020-01-19,actual,76375629,mexico,74498167
2018-02-01,2018-02-11,actual,39307402,mexico,36267559
2020-06-01,2020-06-07,actual,54322214,mexico,33956728
2020-08-01,2020-08-30,actual,48717827,mexico,34643071
2020-05-01,2020-05-10,actual,68814562,mexico,50608141
2020-09-01,2020-09-13,actual,50284383,mexico,41917507
2018-02-01,2018-02-25,actual,53018743,mexico,47987058
2020-03-01,2020-03-29,actual,36225538,mexico,27901876
2020-02-01,2020-02-23,actual,60175473,mexico,53720838
2019-05-01,2019-05-05,actual,37778586,mexico,29034816
2018-01-01,2018-01-21,actual,54698266,mexico,51339476
2019-09-01,2019-09-15,actual,51760427,mexico,47331012
2020-07-01,2020-07-12,actual,52258875,mexico,25273369
2019-12-01,2019-12-01,actual,49266022,mexico,48902153
2019-01-01,2019-01-06,actual,39644522,mexico,38533278
2019-04-01,2019-04-07,actual,66309565,mexico,58313868
2019-01-01,2019-01-20,actual,73262502,mexico,72545325
2020-12-01,2020-12-06,projection,52612612,mexico,52089383
2019-03-01,2019-03-17,actual,57661257,mexico,56500196
