,date,avg_price,geography,units_4046,units_4225,units_4770,s_bags,l_bags,xl_bags,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax
89,2017-01-02,2.24,Sacramento,1906.72,3364.33,0.0,364.22,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
90,2017-01-15,1.26,Orlando,539.1,112.35,0.0,3426.67,3245.6,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
91,2017-01-29,1.21,SanDiego,1477.75,8949.53,4.86,3304.61,4454.71,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
92,2017-01-15,2.31,Sacramento,1502.96,3492.53,0.0,265.39,6.67,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
93,2017-01-15,1.7,GreatLakes,4370.03,67260.09,0.0,25703.71,6153.89,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
94,2017-01-15,0.95,Houston,8281.17,13.75,0.0,22397.35,6.67,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
95,2017-01-02,2.54,SanFrancisco,7268.66,10452.56,0.0,2189.29,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
96,2017-01-08,1.16,Spokane,14.26,914.68,0.0,168.63,3016.13,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
97,2017-01-15,1.3,NewOrleans/Mobile,101.17,11.9,0.0,2775.42,984.97,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
98,2017-01-02,1.78,Raleigh/Greensboro,121.25,3157.17,299.93,4271.94,187.93,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
99,2017-01-15,1.84,Albany,82.3,328.02,0.0,1572.33,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
100,2017-01-22,1.27,LosAngeles,10912.94,21788.2,3.12,41824.67,2889.68,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
101,2017-01-29,1.5,Charlotte,131.99,4705.7,520.72,4139.08,555.94,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
102,2017-01-08,1.18,WestTex/NewMexico,1327.98,2617.2,5.75,10283.85,140.61,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
103,2017-01-15,1.04,Dallas/FtWorth,3979.48,1535.52,0.0,13871.35,86.44,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
104,2017-01-29,1.84,NorthernNewEngland,3.82,333.23,0.0,12452.07,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
105,2017-01-29,1.23,Miami/FtLauderdale,255.33,8.07,0.0,2085.56,2123.81,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
106,2017-01-15,1.88,Detroit,790.85,6131.31,0.0,937.88,15.32,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
107,2017-01-15,1.56,Plains,5384.45,18694.14,5562.78,23848.37,11187.72,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
108,2017-01-22,1.27,Richmond/Norfolk,436.2,2878.14,180.28,2901.02,1671.13,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
109,2017-01-29,1.04,Indianapolis,222.81,1495.17,0.0,1209.49,2644.52,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
110,2017-01-08,2.43,Hartford/Springfield,38.45,4063.04,17.85,5593.41,167.83,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
111,2017-01-15,1.53,Syracuse,2.53,156.91,0.0,3000.33,19.68,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
112,2017-01-02,1.24,Jacksonville,245.43,38.31,2.39,910.0,2511.54,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
113,2017-01-02,1.67,SouthCarolina,296.57,2833.99,185.96,2687.3,862.28,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
